,source,target
400,ilyasut,OpenAI
401,ilyasut,OpenAI
402,ilyasut,OpenAI
403,ilyasut,OpenAI
404,ilyasut,OpenAI
405,ilyasut,lexfridman
406,ilyasut,satyanadella
407,ilyasut,OpenAI
408,ilyasut,OpenAI
409,ilyasut,OpenAI
410,ilyasut,OpenAI
411,ilyasut,OpenAI
412,ilyasut,Guillegran
413,ilyasut,OpenAI
414,ilyasut,OpenAI
415,ilyasut,OpenAI
416,ilyasut,OpenAI
417,ilyasut,OpenAI
418,ilyasut,OpenAI
419,ilyasut,OpenAI
420,ilyasut,OpenAI
421,ilyasut,OpenAI
422,ilyasut,sama
423,ilyasut,OpenAI
424,ilyasut,gd
425,ilyasut,OpenAI
426,ilyasut,AravSrinivas
427,ilyasut,gd
428,ilyasut,DeepMind
429,ilyasut,OpenAI
430,ilyasut,gd
431,ilyasut,OpenAI
432,ilyasut,OpenAI
433,ilyasut,OpenAI
434,ilyasut,OpenAI
435,ilyasut,OpenAI
436,ilyasut,OpenAI
437,ilyasut,gd
438,ilyasut,OpenAI
439,ilyasut,OpenAI
440,ilyasut,danielgross
441,ilyasut,colinmegill
442,ilyasut,OpenAI
443,ilyasut,karpathy
444,ilyasut,gd
445,ilyasut,OpenAI
446,ilyasut,_joelsimon
447,ilyasut,OpenAI
448,ilyasut,OpenAI
449,ilyasut,nicolehe
450,ilyasut,sama
451,ilyasut,lilianweng
452,ilyasut,OpenAI
453,ilyasut,OpenAI
454,ilyasut,lilianweng
455,ilyasut,OpenAI
456,ilyasut,OpenAI
457,ilyasut,gd
458,ilyasut,OpenAI
459,ilyasut,OpenAI
460,ilyasut,OpenAI
461,ilyasut,PyTorch
462,ilyasut,OpenAI
463,ilyasut,gd
464,ecir2022,krisztianbalog
465,ecir2022,krisztianbalog
466,ecir2022,vinaysetty
467,dbamman,mewo2
468,dbamman,RubioGlitch
469,dbamman,fivethirtynate
470,dbamman,russfeingold
471,dbamman,Ted_Underwood
472,dbamman,Ted_Underwood
473,dbamman,lucy3_li
474,dbamman,scott_bot
475,dbamman,mrtz
476,dbamman,hspter
477,dbamman,6Bacon
478,dbamman,jblumenstock
479,dbamman,dmimno
480,dbamman,existentialcoms
481,dbamman,dasmiq
482,dbamman,azaroth42
483,dbamman,justingrimmer
484,dbamman,MohitIyyer
485,dbamman,rmack
486,dbamman,maria_antoniak
487,dbamman,BrentO
488,dbamman,jasonbaldridge
489,dbamman,dasmiq
490,dbamman,Ted_Underwood
491,dbamman,arthur_spirling
492,dbamman,adityagp
493,dbamman,vardi
494,dbamman,openscience
495,dbamman,oknilev
496,dbamman,Ted_Underwood
497,dbamman,dasmiq
498,dbamman,DH_2013
499,dbamman,mrogati
500,dbamman,Ted_Underwood
501,dbamman,Ted_Underwood
502,dbamman,echen
503,dbamman,emma_lurie
504,dbamman,TeXtip
505,dbamman,PhilologistGRC
506,dbamman,lucy3_li
507,dbamman,j0_0n
508,dbamman,Ted_Underwood
509,dbamman,katecrawford
510,dbamman,rendan642
511,dbamman,UCB_ScholComm
512,dbamman,dariahtdawg
513,dbamman,Ted_Underwood
514,dbamman,keegan
515,dbamman,nlpmattg
516,dbamman,CulturalAnalyt
517,dbamman,Ted_Underwood
518,dbamman,nlpandcss
519,dbamman,_akpiper
520,dbamman,yoavgo
521,dbamman,hannawallach
522,dbamman,BerkeleyISchool
523,dbamman,RichardJeanSo
524,dbamman,tallinzen
525,dbamman,mljockers
526,dbamman,KieranSnyder
527,dbamman,cindyanguyen
528,dbamman,Ted_Underwood
529,dbamman,wayword
530,dbamman,stanfordnlp
531,dbamman,_akpiper
532,dbamman,Ted_Underwood
533,dbamman,hannawallach
534,dbamman,nlpandcss
535,dbamman,WiNLPWorkshop
536,dbamman,Ted_Underwood
537,chrmanning,GavinNewsom
538,chrmanning,AOC
539,chrmanning,TerriIrwin
540,chrmanning,McFaul
541,chrmanning,ChrisMurphyCT
542,chrmanning,AlogoAgogo
543,chrmanning,callmeX
544,chrmanning,McFaul
545,chrmanning,RBReich
546,chrmanning,dmimno
547,chrmanning,davidhogg111
548,chrmanning,joshgans
549,chrmanning,SBSNews
550,chrmanning,caseyjohnston
551,chrmanning,kareem_carr
552,chrmanning,AndrewYNg
553,chrmanning,aotearoa_ben
554,chrmanning,jbhay
555,chrmanning,jacobeisenstein
556,chrmanning,srush_nlp
557,chrmanning,MarietjeSchaake
558,chrmanning,KyleCranmer
559,chrmanning,NewYorker
560,chrmanning,StanfordAILa
561,chrmanning,emeryberger
562,chrmanning,GoogleAI
563,chrmanning,stanfordnlp
564,chrmanning,chrmanning
565,chrmanning,stanfordnlp
566,chrmanning,spacy_io
567,chrmanning,AIATSIS
568,chrmanning,KieranSnyder
569,chrmanning,arielmc_g
570,chrmanning,gregggonsalves
571,chrmanning,rsalakhu
572,chrmanning,IndigenousXLtd
573,chrmanning,_rockt
574,chrmanning,AliceRGaby
575,chrmanning,math_rachel
576,chrmanning,RoKhanna
577,chrmanning,gneubig
578,chrmanning,Noahpinion
579,chrmanning,AndrewYNg
580,chrmanning,awnihannun
581,chrmanning,landay
582,chrmanning,noUpside
583,chrmanning,StanfordHAI
584,chrmanning,StanfordHAI
585,chrmanning,Benazir_Shah
586,chrmanning,tallinzen
587,chrmanning,MarietjeSchaake
588,chrmanning,hmason
589,chrmanning,ogrisel
590,chrmanning,annadgoldie
591,chrmanning,NandoDF
592,chrmanning,jackclarkSF
593,chrmanning,SkinnerPm
594,chrmanning,BrianLoweryPhD
595,chrmanning,nasrinmmm
596,chrmanning,tallinzen
597,chrmanning,fchollet
598,chrmanning,StanfordAILa
599,chrmanning,abigail_e_see
600,chrmanning,DeepLearningAI_
601,chrmanning,pomeranian99
602,chrmanning,CIFAR_News
603,chrmanning,stanfordnlp
604,chrmanning,jasonbaldridge
605,chrmanning,StanfordHAI
606,chrmanning,wellingmax
607,chrmanning,robreich
608,chrmanning,gregggonsalves
609,chrmanning,robreich
610,chrmanning,StanfordHAI
611,chrmanning,zachtratar
612,abhi1thakur,patcummins30
613,abhi1thakur,Twitter
614,abhi1thakur,elonmusk
615,abhi1thakur,NASA
616,abhi1thakur,erna_solberg
617,abhi1thakur,Snowden
618,abhi1thakur,TheEllenShow
619,abhi1thakur,pbhushan1
620,abhi1thakur,manishindiatv
621,abhi1thakur,ValaAfshar
622,abhi1thakur,ProfFeynman
623,abhi1thakur,TheDailyShow
624,abhi1thakur,AndrewYNg
625,abhi1thakur,MIT_CSAIL
626,abhi1thakur,BoredElonMusk
627,abhi1thakur,karpathy
628,abhi1thakur,fuzzyKB
629,abhi1thakur,ClementDelangue
630,abhi1thakur,Teslarati
631,abhi1thakur,gvanrossum
632,abhi1thakur,Hadley
633,abhi1thakur,erna_solberg
634,abhi1thakur,JonErlichman
635,abhi1thakur,GoogleCola
636,abhi1thakur,qlhoest
637,abhi1thakur,_bhaveshbhatt
638,abhi1thakur,huggingface
639,abhi1thakur,jeremyphoward
640,abhi1thakur,abhi1thakur
641,abhi1thakur,AndrewYNg
642,abhi1thakur,abhi1thakur
643,abhi1thakur,upura0
644,abhi1thakur,sgourley
645,abhi1thakur,huggingface
646,abhi1thakur,KirkDBorne
647,abhi1thakur,KirkDBorne
648,abhi1thakur,hardmaru
649,abhi1thakur,huggingface
650,abhi1thakur,KirkDBorne
651,abhi1thakur,GaelVaroquaux
652,abhi1thakur,iScienceLuvr
653,abhi1thakur,tunguz
654,abhi1thakur,huggingface
655,WebSciConf,theworldindex
656,WebSciConf,OSoMe_IU
657,WebSciConf,YahooResearch
658,WebSciConf,Walid_Magdy
659,WebSciConf,santo_fortunato
660,WebSciConf,emilio__ferrara
661,WebSciConf,susanjhalford
662,WebSciConf,DameWendyDBE
