tweet_id,username,retweets,retweet_name
1388249629318279168,stanfordnlp,26,DynabenchAI
1388146918434361347,stanfordnlp,25,tuomo_h
1388249172436869125,stanfordnlp,13,StanfordHAI
1388249359985242116,stanfordnlp,5,ccnymtm
1388498530793267200,stanfordnlp,2,usagisan2020
1387750607516172288,srikanta,2945,harattttttt
1384900309114306561,srikanta,118,krishashok
1383575119109312512,srikanta,55,rasbt
1385431827620405249,srikanta,13,HoseKatja
1383412493368713225,srikanta,2,garimagaur27
1386405492180750336,sriharshams,7128,JakeSullivan46
1386413078745473026,sriharshams,3080,ASlavitt
1386784612320387073,sriharshams,407,ajassy
1385849814433243136,sriharshams,348,trvr
1385789473376460800,sriharshams,2,ernardleong
1382797696076025860,srahmanidashti,25,mdekstrand
1377623035818151940,srahmanidashti,18,CharlotteHase
1370055298283671557,srahmanidashti,8,svakulenk0
1375795991673241600,srahmanidashti,3,AmazonScience
1384272539363381250,spray83,4269,LeslyCanoM
1381391344963354626,spray83,3578,proceso
1380444947174805504,spray83,184,Lic_SirLancelot
1388298190282268672,sprads,4054,freshhel
1387517106451742720,sportstechws,1,wearemonterosa
1388344584887885832,souhardya69,5375,FarOutAkhtar
1388104111669743617,souhardya69,4544,ndtv
1388104155001024518,souhardya69,3979,ShelJackson27
1388104493066166273,souhardya69,3326,kunalkamra88
1388104372505120770,souhardya69,2314,zoo_bear
1386968074310520833,sotonWSI,9,JisunAn
1386968755062943747,sotonWSI,7,PublicPolicyUoS
1384827807868596226,sotonWSI,4,WebSciConf
1386968035840380930,sotonWSI,2,WebSciConf
1384648934933483521,somaleedatta,413,NPR
1382842673246052352,somaleedatta,147,HHSGov
1382841501378514945,somaleedatta,141,EricTopol
1382842261818380288,somaleedatta,28,StanfordMed
1387466239555952643,snrspeaks,791,svpino
1387764920276684801,snrspeaks,131,omarsar0
1387946868433293315,snrspeaks,72,DeepLearningAI_
1377952146465771520,snrspeaks,45,omarsar0
1384348096310616070,snrspeaks,3,deepset_ai
1388183267292049410,siva2chinni,2591,ShreevarKheruka
1388168745407840260,siva2chinni,666,umasudhir
1388179875442282497,siva2chinni,264,gkd600
1388167910745538564,siva2chinni,3,PhanindraP_TNIE
1388516647766577155,sinemetuvivere,27,Hasmatulla_khan
1388516684487700480,sinemetuvivere,19,Ashok_Kashmir
1388516963048112129,sinemetuvivere,11,iScrew
1388516917049167873,sinemetuvivere,9,_amitbehere
1360715157702250496,siliconvalleyAI,10139,elonmusk
1351485426607878145,siliconvalleyAI,2,StanfordHAI
1368761056139505666,sigir_students,17,2021Ecir
1368714540158914564,sigir_students,16,ACM_CHIIR
1368714511876681730,sigir_students,4,leifos
1382452808478171137,sigir_students,2,AixinSG
1382452152505798656,sigir_students,1,suzan
1325449644265132032,sidrahliaqat,282081,KamalaHarris
1324806844234178560,sidrahliaqat,24244,tobyherman27
1326275286435029000,sidrahliaqat,4926,JoeBiden
1386433329751154695,siddharthb_,6653,hima_lakkaraju
1387530417092239360,siddharthb_,502,PetarV_93
1385979124053790730,siddharthb_,84,PetarV_93
1366557402909208577,shobeirf,29,srijankedia
1385689237496877056,shobeirf,17,TheWebConf
1388480520812519425,shigerufujita,4411,nukegawahayao
1388400537637318656,shigerufujita,788,zalgo3
1388399357876064257,shigerufujita,6,hachim088
1388442429385101312,shigerufujita,1,BsdHacker
1388152992751243271,shawnmjones,13,WebSciConf
1388153219445002245,shawnmjones,12,arxiv
1388153048837476354,shawnmjones,11,rewster_kahle
1387802235749289985,shawnmjones,9,MickyLindlar
1388153070719102977,shawnmjones,1,PT_WebArchive
1387905317694967811,sharma_ashish_2,1452,natashajaques
1387544125692538880,sharma_ashish_2,7,radamihalcea
1387348658195034112,sharma_ashish_2,4,timalthoff
1388350089702215680,shalinda99,100,QuantaMagazine
1388350150347616256,shalinda99,26,QuantaMagazine
1388350290072465410,shalinda99,7,zlatko_minev
1388349318164217859,shalinda99,7,LifeboatHQ
1388516727852453888,shalinda99,2,BrettTingley
1301932977950138368,shailjaThakur3,720,gabrielpeyre
1259668070391480321,shailjaThakur3,467,markoff
1290726301418942464,shailjaThakur3,347,omarsar0
1301933212474638336,shailjaThakur3,117,mrtz
1380345372875358211,shailjaThakur3,19,npseaver
1383099611380875264,sha2br,11220,chanelspell
1374735691188408327,sha2br,809,VetsAboutFace
1367000350155235328,sha2br,647,romanyam
1385278915397177348,sha2br,21,schweizercomics
1387863341633351688,seyiojediran,1964,elonmusk
1384035218328223748,seyiojediran,528,FinPlanKaluAja1
1292320709197340672,seoyeonp_,539,lintool
1372362542299906049,seoyeonp_,169,kate_saenko_
1292321981308841985,seoyeonp_,68,lorenlugosch
1292321140338294784,seoyeonp_,7,whybansal
1388486117775839234,seedowney,3290,mhdksafa
1388486110272176128,seedowney,2110,Consciouslyblvk
1388486159345532930,seedowney,10,jiwandeepkohli
1388335475048525825,seedowney,8,ddouglasnl
1388200367255695363,seanmylaw,363,reshamas
1388089555325161473,seanmylaw,49,LeahAWasser
1388272144413515779,seanmylaw,27,AllenDowney
1388272184766894083,seanmylaw,6,eeonaposy
1388271906411921411,seanmylaw,1,dillonniederhut
1352432470415663105,sdowsi,543,chamath
1383096946085154818,sdowsi,280,chamath
1335438128941654016,sdowsi,64,BCG
1332822241948549140,sdowsi,42,ValaAfshar
1354232509609906178,sdowsi,3,CornellNews
1387509290047574019,sdhdezp,5696,xkcdComic
1385566684107444224,sdhdezp,86,yoavgo
1376310442893705216,sdhdezp,13,kgc_workshop
1379797914977992705,sdhdezp,9,zehavoc
1376310163754393600,sdhdezp,7,scik_workshop
1387815837835448325,scixam,7730,xkcd
1386448257098911744,scixam,399,SalsaTekila
1336483445556604938,scinoise,1502,cfiesler
1352625605490184193,scinoise,20,FAccTConference
1371262785368190976,scheeloong,58100,elonmusk
1381397302254858241,scheeloong,12175,RexChapman
1372700072048095235,scheeloong,912,NBAonTNT
1341786443186720774,scheeloong,611,Quicktake
1387782403125506052,saurabhd04,689,sagarcasm
1388215036162760708,saurabhd04,256,ANI
1388218197271355392,saurabhd04,30,ElectrekCo
1387780226311020545,saurabhd04,18,jnanaprabodhini
1387780155607711745,saurabhd04,7,SupportJPF
1067496286746812416,sankepallyr,5,JeffD
1071107001525198849,sankepallyr,4,fire_forum
1070730484391534593,sankepallyr,3,ACMSIGIR
1071108010062290944,sankepallyr,2,fire_forum
1071105942375280641,sankepallyr,2,fire_forum
1388007376796590081,sangramga,823,jure
1388141128608718850,sangramga,263,omarsar0
1388356626957041668,sangramga,80,facebookai
1388007190821105664,sangramga,49,michiyasunaga
1388006811899363331,sangramga,43,jure
1369798004778016768,sangheon_han,89,PyConKR
1377046022497574912,sangheon_han,14,GeekNewsBot
1386655958613446663,sangeeta15790,10790,BeingSalmanKhan
1386655993820422149,sangeeta15790,43,theUL
1386655911209357318,sangeeta15790,26,acambridgediary
1386656028863782915,sangeeta15790,10,RaniChandravati
1358038117899501579,sandrewge,6294,AdrinaKocharian
1359997982515601410,sandrewge,14,ACMRecSys
1361080816223272964,sandrewge,7,Adevinta
1377116285494915074,samarth_robo,4,MichaelAPosa
1379853968520536064,saifnoorprottoy,18,AndrewCMyers
1382939914317090819,saifnoorprottoy,3,profbodden
1387974935620976640,saby_tweets,131,omarsar0
1387975690650148864,saby_tweets,69,PhilippBayer
1387973914987429893,saby_tweets,37,nickz_42
1387974686441496578,saby_tweets,32,pratyushmaini
